hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_units,current_units,total_number_units,number_rental_rooms,avg._no._r/r_per_unit,population_-_section_8_transition,population_-_public_housing,total_population,families_on_fixed_income,%_families_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room_(as_built),avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005013420,190,342,301,301,NY005096A,DAVIDSON,FEDERAL,CONVENTIONAL,NEW CONST,,175,175,841.5,4.81,0,466,466,66,38.4%,1,0,2,8,"82,967",1.90,"82,967",2,"24,796","1,647,000",29.89%,245,"$8,704,709","$10,259",$549,PROSPECT AVE HOME ST 167TH ST UNION AVE,BRONX,3,15,32,79,17,8/31/1973,,PARTIALLY (1 STAIRHALL),,
NY005000590,224,059,343,236,NY005165,EAGLE AVENUE-EAST 163RD STREET,FEDERAL,TURNKEY,NEW CONST,,66,66,279.0,4.23,0,127,127,21,33.9%,1,0,1,6,"28,125",0.65,"28,125",1,"9,828","598,000",34.94%,195,"$1,710,901","$6,078",$461,EAGLE AVE E 163RD ST THIRD AVE E 161ST ST,BRONX,3,15,32,79,17,5/31/1971,,,,
NY005010280,237,028,360,360,NY005154,EAST 152ND STREET-COURTLANDT AVENUE,FEDERAL,TURNKEY,NEW CONST,,221,221,913.5,4.13,0,382,382,144,65.2%,2,0,2,11-14,"63,175",1.45,"63,175",1,"21,301","1,801,668",33.72%,263,"$7,717,944","$8,330",$436,E 151ST ST E 153RD ST COURTLANDT AVE MELROSE AVE,BRONX,1,15,32,84,17,8/31/1973,,PARTIALLY (1 BUILDING),,
NY005015300,304,530,552,748,NY005226,EAST 165TH STREET-BRYANT AVENUE,FEDERAL,TURNKEY,NEW CONST,,111,111,588.5,5.30,0,361,361,22,20.0%,5,0,19,3,"137,566",3.16,"137,566",3,"41,134","1,286,795",29.90%,114,"$8,178,643","$13,874",$733,WESTCHESTER AVE LONGFELLOW AVE ALDUS ST HOE AVE,BRONX,2,15,32,85,17,10/31/1987,,,YES,YES
NY005015300,338,530,778,748,NY005252,EAST 173RD STREET-VYSE AVENUE,FEDERAL,TURNKEY,NEW CONST,,168,168,758.0,4.51,0,381,381,48,29.6%,7,0,28,3,"196,060",4.50,"196,060",5,"59,524","1,547,624",28.46%,85,"$12,629,936","$16,684",$563,SOUTHERN BLVD E 173RD ST VYSE AVE JENNINGS ST,BRONX,3,15,32,79,17,10/31/1987,,,YES,YES
NY005012270,208,180,323,363,NY005124,EAST 180TH STREET-MONTEREY AVENUE,FEDERAL,CONVENTIONAL,NEW CONST,,239,239,1052.5,4.40,0,526,526,97,40.8%,1,1,2,10,"78,743",1.81,"78,743",2,"30,800","2,072,776",39.11%,291,"$8,727,000","$8,221",$527,E 180TH ST E 181ST ST LAFONTAINE AVE QUARRY RD,BRONX,6,15,33,86,15,9/30/1973,,,,
NY005010340,034,034,313,313,NY005114A,EASTCHESTER GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,876,877,4245.0,4.85,0,"1,981","1,981",340,39.4%,10,0,15,7-8,"653,856",15.01,"607,396",14,"115,918","7,891,470",17.73%,132,"$9,514,000","$2,244",$577,BURKE AVE BOUCK AVE ADEE AVE YATES AVE,BRONX,11,16,36,83,12,6/1/1950,1968/08/29-FED TRAN,,,
NY005000570,057,057,214,214,NY005019,EDENWALD,FEDERAL,CONVENTIONAL,NEW CONST,,"2,035","2,039",9675.5,4.75,0,"4,783","4,783",633,31.5%,40,2,68,3-14,"2,129,275",48.88,"2,023,005",46,"344,433","17,847,449",16.18%,98,"$22,862,156","$2,359",$584,GRENADA PL BAYCHESTER AVE E 225TH ST LACONIA AVE,BRONX,12,16,36,83,12,10/30/1953,,,,
NY005000590,059,059,535,535,NY005220F,FOREST,FEDERAL,CONVENTIONAL,NEW CONST,,"1,348","1,350",6153.0,4.56,0,"2,908","2,908",506,38.2%,15,0,15,9-10-14,"771,920",17.72,"700,087",16,"125,002","11,465,400",16.19%,164,"$19,576,000","$3,186",$525,TINTON AVE E 163RD ST TRINITY AVE E 166TH ST,BRONX,3,15,32,79,16,11/12/1956,1978/07/01-ATP 3,,,
NY005012020,197,197,308,311,NY005110,FORT INDEPENDENCE STREET-HEATH AVENUE,FEDERAL,TURNKEY,NEW CONST,,341,344,1504.5,4.41,0,731,731,138,40.6%,1,0,2,21,"149,152",3.42,"149,152",3,"25,162","3,321,343",16.87%,214,"$10,566,070","$6,933",$538,FT INDEPENDENCE ST HEATH AVE BAILEY AVE SUMMIT PL,BRONX,8,13,33,81,14,11/30/1974,,,,
NY005010670,225,067,342,222,NY005147,GLEBE AVENUE-WESTCHESTER AVENUE,FEDERAL,TURNKEY,NEW CONST (ELD),,130,132,431.0,3.32,0,137,137,119,95.2%,1,0,1,6,"47,204",1.08,"47,204",1,"18,734","1,123,122",39.69%,127,"$3,356,367","$7,467",$331,GLEBE AVE WESTCHESTER AVE CASTLE HILL AVE LYON AVE,BRONX,10,14,34,87,18,12/31/1971,,EXCLUSIVELY,,
NY005010470,040,040,579,579,NY005267A,GUN HILL,FEDERAL,CONVENTIONAL,NEW CONST,,732,733,3126.0,4.27,0,"1,457","1,457",298,41.0%,6,0,6,14,"345,256",7.93,"314,070",7,"54,684","6,221,645",15.84%,184,"$8,709,286","$2,784",$550,HOLLAND AVE WHITE PLAINS RD GUN HILL RD MAGENTA ST,BRONX,12,16,36,83,12,11/30/1950,1980/07/01-ATP 5,,,
NY005013410,347,341,772,762,NY005231,HARRISON AVENUE REHAB (GROUP A),FEDERAL,TURNKEY,REHAB,,33,34,141.5,4.29,0,74,74,14,42.4%,1,0,1,5,"9,167",0.21,"9,167",0,"6,698","404,958",73.07%,352,"$2,368,803","$16,225",$590,HARRISON AVE W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,15,29,86,14,9/1/1986,,,YES,YES
NY005013410,547,341,773,762,NY005287,HARRISON AVENUE REHAB (GROUP B),FEDERAL,TURNKEY,REHAB,,149,150,659.5,4.43,0,325,325,58,39.2%,4,0,4,5-6,"44,753",1.03,"44,753",1,"29,954","1,856,310",66.93%,316,"$10,059,298","$15,150",$531,UNIVERSITY PL W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,15,29,86,14,12/1/1986,,,YES,YES
NY005000780,078,078,229,229,NY005026,HIGHBRIDGE GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,699,700,3247.5,4.65,0,"1,594","1,594",263,38.0%,6,0,6,13-14,"496,875",11.41,"496,875",11,"55,678","5,837,785",10.12%,140,"$7,547,875","$2,321",$514,SEDGWICK AVE W 167TH ST UNIVERSITY AVE,BRONX,4,15,29,77,16,6/18/1954,,,,
NY005015300,215,530,333,748,NY005164,HOE AVENUE-EAST 173RD STREET,FEDERAL,TURNKEY,NEW CONST,,65,65,270.5,4.16,0,146,146,17,26.2%,1,0,1,6,"22,000",0.51,"22,000",1,"9,242","602,580",42.01%,286,"$1,583,566","$5,801",$575,HOE AVE E 173RD ST E 174TH ST VYSE AVE,BRONX,3,15,32,79,17,12/31/1970,,,,YES
NY005015300,367,530,806,748,NY005299,HUNTS POINT AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,130,131,601.0,4.62,0,320,320,39,30.0%,13,0,13,4-5,"58,206",1.34,"58,206",1,"35,180","1,540,888",60.44%,239,"$13,280,604","$21,933",$565,LAFAYETTE AVE HUNTS POINT AVE SENECA AVE IRVINE ST,BRONX,2,15,"32, 34",85,17,11/30/1991,,,YES,YES
NY005012670,120,267,243,243,NY005043,JACKSON,FEDERAL,CONVENTIONAL,NEW CONST,,868,868,4137.0,4.77,0,"2,121","2,121",279,32.7%,7,1,7,16,"343,403",7.88,"343,403",8,"59,552","7,682,714",17.34%,269,"$14,850,303","$3,590",$536,PARK AVE COURTLANDT AVE E 158TH ST E 156TH ST,BRONX,1,15,32,79,17,7/31/1963,,,,
NY005015300,362,530,794,748,NY005295,LONGFELLOW AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,75,75,412.5,5.50,0,273,273,10,13.3%,2,0,2,5,"26,724",0.61,"26,724",1,"16,773","1,060,415",62.76%,448,"$7,044,209","$17,077",$703,WESTCHESTER AVE WHITLOCK AVE E 165TH ST BRYANT AVE,BRONX,2,15,32,85,17,10/31/1990,,,YES,YES
NY005020490,049,049,638,638,NY005379,MARBLE HILL,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,257,"1,681","1,682",7115.5,4.23,548,"2,668","3,216",754,45.3%,11,1,11,14-15,"724,809",16.64,"652,495",15,"111,631","13,300,359",15.40%,193,"$17,882,055","$2,539",$543,EXTERIOR ST W 225TH ST BROADWAY W 230TH ST,BRONX,8,13,"31, 33","72, 81","10, 11, 14",3/6/1952,,,,
NY005000590,103,059,236,236,NY005031,MCKINLEY,FEDERAL,CONVENTIONAL,NEW CONST,,616,619,2932.0,4.76,0,"1,387","1,387",223,36.9%,5,1,5,16,"289,985",6.66,"233,735",5,"41,286","5,580,675",14.24%,208,"$10,418,410","$3,535",$537,E 161ST ST E 163RD ST TINTON AVE KINGSLAND PL,BRONX,3,15,32,79,16,7/31/1962,,,,
NY005010280,028,028,523,523,NY005216B,MELROSE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,019","1,023",4845.5,4.76,0,"2,396","2,396",368,36.2%,8,1,8,14,"541,687",12.44,"498,060",11,"68,826","8,736,312",12.71%,193,"$12,236,000","$2,515",$510,MORRIS AVE E 153RD ST COURTLANDT AVE E 156TH ST,BRONX,1,15,32,"79, 84",17,6/20/1952,1978/02/01-ATP 2,,,
NY005010340,191,034,302,313,NY005096B,MIDDLETOWN PLAZA,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,177,179,602.5,3.40,0,192,192,162,93.1%,1,0,1,15,"49,309",1.13,"49,309",1,"10,076","1,078,917",20.43%,170,"$6,090,291","$9,776",$332,ROBERTS AVE JARVIS AVE MIDDLETOWN RD HOBART AVE,BRONX,10,14,34,82,13,8/31/1973,,EXCLUSIVELY,,
NY005010840,084,084,570,570,NY005244C,MILL BROOK,FEDERAL,CONVENTIONAL,NEW CONST,,"1,251","1,255",5799.5,4.64,0,"2,770","2,770",492,40.0%,9,0,9,16,"507,592",11.65,"463,332",11,"76,410","10,446,587",14.17%,238,"$22,176,000","$3,898",$493,E 135TH ST BROOK AVE E 137TH ST CYPRESS AVE,BRONX,1,15,29,84,8,5/26/1959,1979/08/01-ATP 4,,,
NY005010840,132,084,570,570,NY005244C,MILL BROOK EXTENSION,FEDERAL,CONVENTIONAL,NEW CONST,,124,125,605.0,4.88,0,292,292,50,40.7%,1,0,1,16,"22,500",0.52,"22,500",1,"8,660","1,130,657",38.49%,562,"$1,957,000","$3,198",$479,CYPRESS AVE E 135TH ST E 137TH ST,BRONX,1,15,29,84,8,1/31/1962,1979/08/01-ATP 4,,,
NY005011450,145,145,249,249,NY005050,MITCHEL,FEDERAL,CONVENTIONAL,NEW CONST,,"1,729","1,732",7534.5,4.36,0,"3,906","3,906",644,37.9%,10,1,10,17-19-20,"699,494",16.06,"653,938",15,"97,114","14,044,919",13.88%,243,"$33,012,851","$4,350",$542,LINCOLN AVE E 138TH ST WILLIS AVE E 135TH ST,BRONX,1,15,29,84,8,2/28/1966,,PARTIALLY (1 BUILDING),,
NY005000880,088,088,234,234,NY005036,MONROE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,100","1,102",5299.0,4.82,0,"2,645","2,645",413,37.9%,12,1,18,8-14-15,"805,341",18.49,"805,341",18,"118,402","10,177,348",14.70%,143,"$16,449,659","$3,100",$544,SOUNDVIEW AVE STORY AVE TAYLOR AVE LAFAYETTE AVE,BRONX,9,15,32,85,18,11/2/1961,,,,
NY005010930,129,093,251,251,NY005080,MOORE,FEDERAL,CONVENTIONAL,NEW CONST,,463,463,2165.5,4.68,0,"1,103","1,103",153,33.8%,2,0,4,20,"117,000",2.69,"117,000",3,"21,826","4,029,275",18.65%,410,"$7,256,661","$3,350",$555,E 147TH ST E 149TH ST JACKSON AVE TRINITY AVE,BRONX,1,15,29,84,8,3/31/1964,,,,
NY005011020,102,102,239,239,NY005037,MORRIS I,FEDERAL,CONVENTIONAL,NEW CONST,,"1,083","1,085",5237.5,4.84,0,"2,851","2,851",376,35.1%,10,0,10,16-20,"416,831",9.57,"416,831",10,"66,594","9,980,542",15.98%,298,"$20,735,295","$4,008",$501,PARK AVE E 170TH ST THIRD AVE E 169TH ST,BRONX,3,15,33,79,16,8/31/1965,,,,
NY005011020,502,102,280,239,NY005079,MORRIS II,FEDERAL,CONVENTIONAL,NEW CONST,,801,802,3761.5,4.70,0,"1,928","1,928",283,35.8%,7,0,7,16-20,"358,843",8.24,"313,704",7,"51,875","7,162,265",14.46%,234,"$15,391,181","$4,008",$506,PARK AVE E 171ST ST THIRD AVE E 170TH ST,BRONX,3,15,33,79,16,8/31/1965,,,,
NY005011410,130,141,250,231,NY005048,MORRISANIA,FEDERAL,CONVENTIONAL,NEW CONST,,206,206,962.0,4.67,0,535,535,79,38.9%,2,0,2,16,"60,890",1.40,"60,890",1,"13,024","1,769,693",21.39%,382,"$3,742,711","$3,891",$466,E 169TH ST WASHINGTON AVE PARK AVE,BRONX,3,15,32,79,16,5/31/1963,,,,
NY005012670,267,267,385,385,NY005190,MORRISANIA AIR RIGHTS,FEDERAL,TURNKEY,NEW CONST,,843,843,3795.5,4.50,0,"1,685","1,685",426,51.0%,3,0,5,19-23-29,"274,300",6.30,"274,300",6,"64,435","11,316,800",23.49%,267,"$40,272,504","$10,584",$498,PARK AVE E 158TH ST E 161ST ST E 163RD ST,BRONX,"3, 4",15,32,79,"16, 17",1/1/1981,,PARTIALLY (1 STAIRHALL),,
NY005001210,121,121,244,244,NY005044,MOTT HAVEN,FEDERAL,CONVENTIONAL,NEW CONST,,992,993,4634.0,4.67,0,"2,445","2,445",331,34.1%,8,1,8,20-22,"417,367",9.58,"386,817",9,"78,477","9,236,613",18.80%,255,"$20,670,000","$4,456",$528,E 140TH ST E 144TH ST ALEXANDER AVE WILLIS AVE,BRONX,1,15,29,84,8,3/31/1965,,,,
NY005010470,047,047,580,580,NY005267B,PARKSIDE,FEDERAL,CONVENTIONAL,NEW CONST,,879,879,3712.5,4.22,0,"1,703","1,703",357,41.0%,14,0,20,6-7-14-15,"485,455",11.14,"453,178",10,"96,415","7,454,500",19.86%,153,"$9,676,316","$2,606",$516,ADEE AVE WHITE PLAINS RD ARNOW AVE BRONX PARK EAST,BRONX,11,14,36,80,15,6/12/1951,1980/07/01-ATP 5,,,
NY005000240,024,024,522,522,NY005216A,PATTERSON,FEDERAL,CONVENTIONAL,NEW CONST,,"1,788","1,791",8505.0,4.76,0,"4,162","4,162",619,35.1%,15,0,25,6-13,"748,573",17.18,"702,358",16,"167,841","14,503,544",22.42%,242,"$20,731,000","$2,433",$523,MORRIS AVE THIRD AVE E 145TH ST E 139TH ST,BRONX,1,15,29,84,8,12/31/1950,1978/02/01-ATP 2,,,
NY005010390,039,039,586,586,NY005271A,PELHAM PARKWAY,FEDERAL,CONVENTIONAL,NEW CONST,,"1,264","1,266",5442.0,4.31,0,"2,464","2,464",536,42.7%,23,0,38,6,"1,034,160",23.74,"967,252",22,"184,875","10,665,277",17.88%,104,"$15,295,753","$2,806",$569,PELHAM PKWY WALLACE AVE WILLIAMSBRIDGE RD MACE AVE,BRONX,11,14,34,80,13,6/30/1950,1980/10/01-ATP 7,,,
NY005010630,245,063,364,218,NY005179,RANDALL AVENUE-BALCOM AVENUE,FEDERAL,TURNKEY,NEW CONST (ELD),,250,252,820.0,3.28,0,276,276,217,88.6%,3,0,3,6,"230,000",5.28,"230,000",5,"48,175","1,582,410",20.95%,52,"$9,186,414","$10,757",$361,RANDALL AVE BALCOM AVE SCHLEY AVE BUTTRICK AVE,BRONX,10,14,34,82,13,10/31/1978,,EXCLUSIVELY,,
NY005012800,280,280,506,506,NY005205,SACK WERN,FEDERAL,CONVENTIONAL,REHAB,,411,413,1891.5,4.60,0,849,849,172,42.1%,7,1,7,6,"226,969",5.21,"226,969",5,"63,056","3,782,352",27.78%,163,"$8,699,894","$4,528",$578,BEACH AVE TAYLOR AVE NOBLE AVE ROSEDALE AVE,BRONX,9,15,34,85,18,5/12/1977,,,,
NY005020930,093,093,673,673,NY005384,SAINT MARY’S PARK,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209,"1,005","1,007",4523.5,4.50,532,"1,729","2,261",362,36.5%,6,0,6,21,"588,851",13.52,"545,801",13,"57,006","8,922,933",9.68%,167,"$16,351,823","$3,607",$530,CAULDWELL AVE E 156TH ST WESTCHESTER AVE TRINITY AVE,BRONX,1,15,"29, 32","79, 84",17,4/30/1959,,,,
NY005010450,045,045,368,368,NY005183B,SEDGWICK,FEDERAL,CONVENTIONAL,NEW CONST,,782,786,3313.0,4.24,0,"1,455","1,455",342,43.9%,7,0,7,14-15,"319,008",7.32,"319,008",7,"59,598","6,642,484",18.68%,199,"$8,397,841","$2,529",$506,UNDERCLIFF AVE W 174TH ST UNIVERSITY AVE,BRONX,5,13,29,77,16,3/23/1951,1972/06/29-FED TRAN,,,
NY005010670,067,067,222,222,NY005022,SOTOMAYOR HOUSES,FEDERAL,CONVENTIONAL,NEW CONST,,"1,496","1,497",6968.0,4.66,0,"3,178","3,178",580,39.3%,28,3,28,7,"1,340,519",30.77,"1,340,519",31,"190,435","12,238,008",14.21%,103,"$17,963,549","$2,564",$544,WATSON AVE BRUCKNER BLVD SOUNDVIEW AVE LELAND AVE,BRONX,9,15,32,85,18,2/28/1955,,,,
