hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_units,current_units,total_number_units,number_rental_rooms,avg._no._r/r_per_unit,population_-_section_8_transition,population_-_public_housing,total_population,families_on_fixed_income,%_families_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room_(as_built),avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005015300,235,530,352,748,NY005145,BRYANT AVENUE-EAST 174TH STREET,FEDERAL,TURNKEY,NEW CONST,,72,72,284.0,3.94,0,138,138,32,45.07%,1,0,1,6,"22,500",0.52,"22,500",0.52,"9,879","672,864",43.91%,265,"$2,132,334","$7,315",$510,E 174TH ST BRYANT AVE E 173RD ST VYSE AVE,BRONX,3,15,32,79,17,08/31/1972,,,,YES
NY005001130,113,113,435,435,NY005362,BUTLER,FEDERAL,CONVENTIONAL,NEW CONST,,"1,476","1,492","7,217.0",4.89,0,"4,122","4,122",470,32.06%,6,1,6,21,"558,096",12.81,"558,096",12.81,"88,255","13,527,100",15.81%,322,"$29,633,000","$4,068",$512,E 169TH ST E 171ST ST WEBSTER AVE PARK AVE,BRONX,3,15,33,79,16,12/31/1964,1995/07/13-PTA,,,
NY005020800,080,080,431,431,NY005371,CASTLE HILL,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,406,"2,023","2,025","9,764.5",4.83,"1,073","3,658","4,731",794,40.30%,14,0,14,12-20,"1,801,346",41.35,"1,757,585",40.35,"176,917","19,247,987",9.82%,114,"$28,454,000","$2,915",$517,OLMSTEAD AVE HAVEMEYER AVE LACOMBE AVE CINCINNATUS AVE,BRONX,9,15,32,87,18,12/15/1960,,,,
NY005013420,334,342,779,753,NY005253,CLAREMONT PARKWAY-FRANKLIN AVENUE,FEDERAL,TURNKEY,NEW CONST,,186,188,726.0,3.90,0,275,275,124,67.03%,3,0,13,3-7,"134,390",3.09,"134,390",3.09,"35,258","1,584,850",26.24%,89,"$12,645,913","$17,252",$401,CLAREMONT PKWY FULTON AVE E 171ST ST THIRD AVE,BRONX,3,15,33,79,16,12/16/1986,,PARTIALLY (1 BUILDING),YES,
NY005013080,307,308,330,750,NY005246,CLAREMONT REHAB (GROUP 2),FEDERAL,TURNKEY,REHAB,,104,107,445.0,4.28,0,242,242,44,42.72%,6,0,6,5-6,"31,874",0.73,"31,874",0.73,"21,948","3,488,634",68.86%,332,"$11,430,362","$24,822",$431,CLAY AVE E 169TH ST WEBSTER AVE E 166TH ST,BRONX,4,15,32,77,16,12/31/1987,,,YES,
NY005013080,308,308,750,750,NY005223,CLAREMONT REHAB (GROUP 3),FEDERAL,TURNKEY,REHAB,,107,115,470.5,4.40,0,248,248,30,28.57%,5,0,5,5,"35,423",0.81,"35,423",0.81,"21,985","1,538,950",62.06%,306,"$7,234,594","$14,061",$475,E 167TH ST TELLER AVE E 165TH ST FINDLAY AVE,BRONX,4,15,32,77,16,02/28/1985,,,YES,
NY005013080,335,308,751,750,NY005273,CLAREMONT REHAB (GROUP 4),FEDERAL,TURNKEY,REHAB,,143,150,631.5,4.42,0,313,313,51,36.43%,9,0,9,4-5,"45,636",1.05,"45,636",1.05,"29,519","2,656,710",64.68%,298,"$10,283,674","$15,605",$467,E 169TH ST CLAY AVE E 165TH ST FINDLAY AVE,BRONX,4,15,32,77,16,10/23/1986,,,YES,
NY005013080,336,308,752,750,NY005274,CLAREMONT REHAB (GROUP 5),FEDERAL,TURNKEY,REHAB,,128,135,557.0,4.35,0,292,292,48,38.10%,3,0,3,5,"53,898",1.24,"53,898",1.24,"28,605","2,927,721",53.07%,235,"$8,551,169","$14,555",$496,COLLEGE AVE E 167TH ST FINDLAY AVE E 166TH ST,BRONX,4,15,32,77,16,11/30/1985,,,YES,
NY005012800,011,280,208,506,NY005007,CLASON POINT GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,401,401,"1,893.5",4.72,0,883,883,163,40.75%,46,0,192,2,"742,013",17.03,"742,013",17.03,"154,304","3,388,939",20.80%,52,"$2,067,000","$1,116",$654,STORY AVE SEWARD AVE NOBLE AVE METCALF AVE,BRONX,9,15,34,85,18,12/20/1941,,,,
NY005013080,236,308,351,344,NY005148,COLLEGE AVENUE-EAST 165TH STREET,FEDERAL,TURNKEY,NEW CONST (ELD),,93,95,301.5,3.24,0,98,98,80,89.89%,1,0,1,6,"22,146",0.51,"22,146",0.51,"10,022","784,399",45.25%,192,"$2,518,156","$7,869",$303,E 166TH ST FINDLAY AVE E 165TH ST COLLEGE AVE,BRONX,4,15,32,77,16,07/31/1972,,EXCLUSIVELY,,
NY005013420,190,342,301,301,NY005096A,DAVIDSON,FEDERAL,CONVENTIONAL,NEW CONST,,175,175,841.5,4.81,0,464,464,72,41.14%,1,0,2,8,"82,967",1.90,"82,967",1.90,"24,796","1,647,000",29.89%,244,"$8,704,709","$10,259",$566,PROSPECT AVE HOME ST 167TH ST UNION AVE,BRONX,3,15,32,79,17,08/31/1973,,PARTIALLY (1 STAIRHALL),,
NY005000590,224,059,343,236,NY005165,EAGLE AVENUE-EAST 163RD STREET,FEDERAL,TURNKEY,NEW CONST,,66,66,279.0,4.23,0,134,134,25,38.46%,1,0,1,6,"28,125",0.65,"28,125",0.65,"9,828","598,000",34.94%,206,"$1,710,901","$6,078",$448,EAGLE AVE E 163RD ST THIRD AVE E 161ST ST,BRONX,3,15,32,79,17,05/31/1971,,,,
NY005010280,237,028,360,360,NY005154,EAST 152ND STREET-COURTLANDT AVENUE,FEDERAL,TURNKEY,NEW CONST,,221,221,913.5,4.13,0,366,366,140,64.22%,2,0,2,11-14,"63,175",1.45,"63,175",1.45,"21,301","1,801,668",33.72%,252,"$7,717,944","$8,330",$453,E 151ST ST E 153RD ST COURTLANDT AVE MELROSE AVE,BRONX,1,15,32,84,17,08/31/1973,,PARTIALLY (1 BUILDING),,
NY005015300,304,530,552,748,NY005226,EAST 165TH STREET-BRYANT AVENUE,FEDERAL,TURNKEY,NEW CONST,,111,111,588.5,5.30,0,354,354,21,19.27%,5,0,19,3,"137,566",3.16,"137,566",3.16,"41,134","1,286,795",29.90%,112,"$8,178,643","$13,874",$739,WESTCHESTER AVE LONGFELLOW AVE ALDUS ST HOE AVE,BRONX,2,15,32,85,17,10/31/1987,,,YES,YES
NY005015300,338,530,778,748,NY005252,EAST 173RD STREET-VYSE AVENUE,FEDERAL,TURNKEY,NEW CONST,,168,168,758.0,4.51,0,389,389,49,29.34%,7,0,28,3,"196,060",4.50,"196,060",4.50,"59,524","1,547,624",28.46%,86,"$12,629,936","$16,684",$626,SOUTHERN BLVD E 173RD ST VYSE AVE JENNINGS ST,BRONX,3,15,32,79,17,10/31/1987,,,YES,YES
NY005012270,208,180,323,363,NY005124,EAST 180TH STREET-MONTEREY AVENUE,FEDERAL,CONVENTIONAL,NEW CONST,,239,239,"1,052.5",4.40,0,515,515,99,42.13%,1,1,2,10,"78,743",1.81,"78,743",1.81,"30,800","2,072,776",39.11%,285,"$8,727,000","$8,221",$520,E 180TH ST E 181ST ST LAFONTAINE AVE QUARRY RD,BRONX,6,15,33,86,15,09/30/1973,,,,
NY005010340,034,034,313,313,NY005114A,EASTCHESTER GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,876,877,"4,245.0",4.85,0,"1,965","1,965",363,41.77%,10,0,15,7-8,"653,856",15.01,"607,396",13.94,"115,918","7,891,470",17.73%,131,"$9,514,000","$2,244",$529,BURKE AVE BOUCK AVE ADEE AVE YATES AVE,BRONX,11,16,36,83,12,06/01/1950,1968/08/29-FED TRAN,,,
NY005000570,057,057,214,214,NY005019,EDENWALD,FEDERAL,CONVENTIONAL,NEW CONST,,"2,035","2,039","9,675.5",4.75,0,"4,727","4,727",664,33.13%,40,2,68,3-14,"2,129,275",48.88,"2,023,005",46.44,"344,433","17,847,449",16.18%,97,"$22,862,156","$2,359",$566,GRENADA PL BAYCHESTER AVE E 225TH ST LACONIA AVE,BRONX,12,16,36,83,12,10/30/1953,,,,
NY005000590,059,059,535,535,NY005220F,FOREST,FEDERAL,CONVENTIONAL,NEW CONST,,"1,345","1,350","6,138.5",4.56,0,"2,854","2,854",521,39.38%,15,0,15,9-10-14,"771,920",17.72,"700,087",16.07,"125,002","11,465,400",16.19%,161,"$19,576,000","$3,186",$509,TINTON AVE E 163RD ST TRINITY AVE E 166TH ST,BRONX,3,15,32,79,16,11/12/1956,1978/07/01-ATP 3,,,
NY005012020,197,197,308,311,NY005110,FORT INDEPENDENCE STREET-HEATH AVENUE,FEDERAL,TURNKEY,NEW CONST,,341,344,"1,504.5",4.41,0,717,717,146,43.07%,1,0,2,21,"149,152",3.42,"149,152",3.42,"25,162","3,321,343",16.87%,210,"$10,566,070","$6,933",$522,FT INDEPENDENCE ST HEATH AVE BAILEY AVE SUMMIT PL,BRONX,8,13,33,81,14,11/30/1974,,,,
NY005010670,225,067,342,222,NY005147,GLEBE AVENUE-WESTCHESTER AVENUE,FEDERAL,TURNKEY,NEW CONST (ELD),,131,132,434.5,3.32,0,134,134,119,94.44%,1,0,1,6,"47,204",1.08,"47,204",1.08,"18,734","1,123,122",39.69%,124,"$3,356,367","$7,467",$351,GLEBE AVE WESTCHESTER AVE CASTLE HILL AVE LYON AVE,BRONX,10,14,34,87,18,12/31/1971,,EXCLUSIVELY,,
NY005010470,040,040,579,579,NY005267A,GUN HILL,FEDERAL,CONVENTIONAL,NEW CONST,,732,733,"3,126.0",4.27,0,"1,438","1,438",308,42.60%,6,0,6,14,"345,256",7.93,"314,070",7.21,"54,684","6,221,645",15.84%,181,"$8,709,286","$2,784",$562,HOLLAND AVE WHITE PLAINS RD GUN HILL RD MAGENTA ST,BRONX,12,16,36,83,12,11/30/1950,1980/07/01-ATP 5,,,
NY005013410,347,341,772,762,NY005231,HARRISON AVENUE REHAB (GROUP A),FEDERAL,TURNKEY,REHAB,,34,34,146.0,4.29,0,75,75,16,47.06%,1,0,1,5,"9,167",0.21,"9,167",0.21,"6,698","404,958",73.07%,357,"$2,368,803","$16,225",$542,HARRISON AVE W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,15,29,86,14,09/01/1986,,,YES,YES
NY005013410,547,341,773,762,NY005287,HARRISON AVENUE REHAB (GROUP B),FEDERAL,TURNKEY,REHAB,,150,150,664.0,4.43,0,328,328,57,38.26%,4,0,4,5-6,"44,753",1.03,"44,753",1.03,"29,954","1,856,310",66.93%,318,"$10,059,298","$15,150",$521,UNIVERSITY PL W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,15,29,86,14,12/01/1986,,,YES,YES
NY005000780,078,078,229,229,NY005026,HIGHBRIDGE GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,695,700,"3,230.5",4.65,0,"1,566","1,566",257,37.30%,6,0,6,13-14,"496,875",11.41,"496,875",11.41,"55,678","5,837,785",10.12%,137,"$7,547,875","$2,321",$507,SEDGWICK AVE W 167TH ST UNIVERSITY AVE,BRONX,4,15,29,77,16,06/18/1954,,,,
NY005015300,215,530,333,748,NY005164,HOE AVENUE-EAST 173RD STREET,FEDERAL,TURNKEY,NEW CONST,,65,65,270.5,4.16,0,137,137,16,25.40%,1,0,1,6,"22,000",0.51,"22,000",0.51,"9,242","602,580",42.01%,269,"$1,583,566","$5,801",$566,HOE AVE E 173RD ST E 174TH ST VYSE AVE,BRONX,3,15,32,79,17,12/31/1970,,,,YES
NY005015300,367,530,806,748,NY005299,HUNTS POINT AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,131,131,605.5,4.62,0,324,324,39,30.00%,13,0,13,4-5,"58,206",1.34,"58,206",1.34,"35,180","1,540,888",60.44%,242,"$13,280,604","$21,933",$609,LAFAYETTE AVE HUNTS POINT AVE SENECA AVE IRVINE ST,BRONX,2,15,"32, 34",85,17,11/30/1991,,,YES,YES
NY005012670,120,267,243,243,NY005043,JACKSON,FEDERAL,CONVENTIONAL,NEW CONST,,868,868,"4,137.0",4.77,0,"2,068","2,068",300,35.34%,7,1,7,16,"343,403",7.88,"343,403",7.88,"59,552","7,682,714",17.34%,262,"$14,850,303","$3,590",$495,PARK AVE COURTLANDT AVE E 158TH ST E 156TH ST,BRONX,1,15,32,79,17,07/31/1963,,,,
NY005015300,362,530,794,748,NY005295,LONGFELLOW AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,75,75,412.5,5.50,0,262,262,8,10.81%,2,0,2,5,"26,724",0.61,"26,724",0.61,"16,773","1,060,415",62.76%,430,"$7,044,209","$17,077",$743,WESTCHESTER AVE WHITLOCK AVE E 165TH ST BRYANT AVE,BRONX,2,15,32,85,17,10/31/1990,,,YES,YES
NY005020490,049,049,638,638,NY005379,MARBLE HILL,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,257,"1,682","1,682","7,119.0",4.23,528,"2,648","3,176",770,46.39%,11,1,11,14-15,"724,809",16.64,"652,495",14.98,"111,631","13,300,359",15.40%,191,"$17,882,055","$2,539",$525,EXTERIOR ST W 225TH ST BROADWAY W 230TH ST,BRONX,8,13,"31, 33","72, 81","10, 11, 14",03/06/1952,,,,
NY005000590,103,059,236,236,NY005031,MCKINLEY,FEDERAL,CONVENTIONAL,NEW CONST,,616,619,"2,932.0",4.76,0,"1,380","1,380",232,38.03%,5,1,5,16,"289,985",6.66,"233,735",5.37,"41,286","5,580,675",14.24%,207,"$10,418,410","$3,535",$508,E 161ST ST E 163RD ST TINTON AVE KINGSLAND PL,BRONX,3,15,32,79,16,07/31/1962,,,,
NY005010280,028,028,523,523,NY005216B,MELROSE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,015","1,023","4,827.5",4.76,0,"2,323","2,323",381,37.84%,8,1,8,14,"541,687",12.44,"498,060",11.43,"68,826","8,736,312",12.71%,187,"$12,236,000","$2,515",$497,MORRIS AVE E 153RD ST COURTLANDT AVE E 156TH ST,BRONX,1,15,32,"79, 84",17,06/20/1952,1978/02/01-ATP 2,,,
NY005010340,191,034,302,313,NY005096B,MIDDLETOWN PLAZA,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,177,179,602.5,3.40,0,194,194,159,91.38%,1,0,1,15,"49,309",1.13,"49,309",1.13,"10,076","1,078,917",20.43%,172,"$6,090,291","$9,776",$338,ROBERTS AVE JARVIS AVE MIDDLETOWN RD HOBART AVE,BRONX,10,14,34,82,13,08/31/1973,,EXCLUSIVELY,,
NY005010840,084,084,570,570,NY005244C,MILL BROOK,FEDERAL,CONVENTIONAL,NEW CONST,,"1,251","1,255","5,800.5",4.64,0,"2,719","2,719",508,41.71%,9,0,9,16,"507,592",11.65,"463,332",10.64,"76,410","10,446,587",14.17%,233,"$22,176,000","$3,898",$472,E 135TH ST BROOK AVE E 137TH ST CYPRESS AVE,BRONX,1,15,29,84,08,05/26/1959,1979/08/01-ATP 4,,,
NY005010840,132,084,570,570,NY005244C,MILL BROOK EXTENSION,FEDERAL,CONVENTIONAL,NEW CONST,,124,125,605.0,4.88,0,285,285,54,43.90%,1,0,1,16,"22,500",0.52,"22,500",0.52,"8,660","1,130,657",38.49%,548,"$1,957,000","$3,198",$451,CYPRESS AVE E 135TH ST E 137TH ST,BRONX,1,15,29,84,08,01/31/1962,1979/08/01-ATP 4,,,
NY005011450,145,145,249,249,NY005050,MITCHEL,FEDERAL,CONVENTIONAL,NEW CONST,,"1,732","1,732","7,554.0",4.36,0,"3,842","3,842",650,38.28%,10,1,10,17-19-20,"699,494",16.06,"653,938",15.01,"97,114","14,044,919",13.88%,239,"$33,012,851","$4,350",$531,LINCOLN AVE E 138TH ST WILLIS AVE E 135TH ST,BRONX,1,15,29,84,08,02/28/1966,,PARTIALLY (1 BUILDING),,
NY005000880,088,088,234,234,NY005036,MONROE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,097","1,102","5,283.5",4.82,0,"2,634","2,634",420,38.60%,12,1,18,8-14-15,"805,341",18.49,"805,341",18.49,"118,402","10,177,348",14.70%,142,"$16,449,659","$3,100",$537,SOUNDVIEW AVE STORY AVE TAYLOR AVE LAFAYETTE AVE,BRONX,9,15,32,85,18,11/02/1961,,,,
NY005010930,129,093,251,251,NY005080,MOORE,FEDERAL,CONVENTIONAL,NEW CONST,,461,463,"2,156.5",4.68,0,"1,078","1,078",160,35.24%,2,0,4,20,"117,000",2.69,"117,000",2.69,"21,826","4,029,275",18.65%,401,"$7,256,661","$3,350",$529,E 147TH ST E 149TH ST JACKSON AVE TRINITY AVE,BRONX,1,15,29,84,08,03/31/1964,,,,
NY005011020,102,102,239,239,NY005037,MORRIS I,FEDERAL,CONVENTIONAL,NEW CONST,,"1,084","1,085","5,244.0",4.84,0,"2,829","2,829",398,37.02%,10,0,10,16-20,"416,831",9.57,"416,831",9.57,"66,594","9,980,542",15.98%,296,"$20,735,295","$4,008",$488,PARK AVE E 170TH ST THIRD AVE E 169TH ST,BRONX,3,15,33,79,16,08/31/1965,,,,
NY005011020,502,102,280,239,NY005079,MORRIS II,FEDERAL,CONVENTIONAL,NEW CONST,,801,802,"3,761.5",4.70,0,"1,918","1,918",291,36.60%,7,0,7,16-20,"358,843",8.24,"313,704",7.20,"51,875","7,162,265",14.46%,233,"$15,391,181","$4,008",$498,PARK AVE E 171ST ST THIRD AVE E 170TH ST,BRONX,3,15,33,79,16,08/31/1965,,,,
NY005011410,130,141,250,231,NY005048,MORRISANIA,FEDERAL,CONVENTIONAL,NEW CONST,,206,206,962.0,4.67,0,531,531,80,38.83%,2,0,2,16,"60,890",1.40,"60,890",1.40,"13,024","1,769,693",21.39%,379,"$3,742,711","$3,891",$450,E 169TH ST WASHINGTON AVE PARK AVE,BRONX,3,15,32,79,16,05/31/1963,,,,
NY005012670,267,267,385,385,NY005190,MORRISANIA AIR RIGHTS,FEDERAL,TURNKEY,NEW CONST,,842,843,"3,790.0",4.50,0,"1,654","1,654",427,51.63%,3,0,5,19-23-29,"274,300",6.30,"274,300",6.30,"64,435","11,316,800",23.49%,263,"$40,272,504","$10,584",$471,PARK AVE E 158TH ST E 161ST ST E 163RD ST,BRONX,"3, 4",15,32,79,"16, 17",01/01/1981,,PARTIALLY (1 STAIRHALL),,
NY005001210,121,121,244,244,NY005044,MOTT HAVEN,FEDERAL,CONVENTIONAL,NEW CONST,,992,993,"4,634.0",4.67,0,"2,431","2,431",327,33.50%,8,1,8,20-22,"417,367",9.58,"386,817",8.88,"78,477","9,236,613",18.80%,254,"$20,670,000","$4,456",$525,E 140TH ST E 144TH ST ALEXANDER AVE WILLIS AVE,BRONX,1,15,29,84,08,03/31/1965,,,,
NY005010470,047,047,580,580,NY005267B,PARKSIDE,FEDERAL,CONVENTIONAL,NEW CONST,,877,879,"3,704.5",4.22,0,"1,680","1,680",374,42.89%,14,0,20,6-7-14-15,"485,455",11.14,"453,178",10.40,"96,415","7,454,500",19.86%,151,"$9,676,316","$2,606",$509,ADEE AVE WHITE PLAINS RD ARNOW AVE BRONX PARK EAST,BRONX,11,14,36,80,15,06/12/1951,1980/07/01-ATP 5,,,
NY005000240,024,024,522,522,NY005216A,PATTERSON,FEDERAL,CONVENTIONAL,NEW CONST,,"1,783","1,791","8,482.5",4.76,0,"4,064","4,064",639,36.31%,15,0,25,6-13,"748,573",17.18,"702,358",16.12,"167,841","14,503,544",22.42%,237,"$20,731,000","$2,433",$511,MORRIS AVE THIRD AVE E 145TH ST E 139TH ST,BRONX,1,15,29,84,08,12/31/1950,1978/02/01-ATP 2,,,
NY005010390,039,039,586,586,NY005271A,PELHAM PARKWAY,FEDERAL,CONVENTIONAL,NEW CONST,,"1,264","1,266","5,442.0",4.31,0,"2,454","2,454",551,43.87%,23,0,38,6,"1,034,160",23.74,"967,252",22.21,"184,875","10,665,277",17.88%,103,"$15,295,753","$2,806",$550,PELHAM PKWY WALLACE AVE WILLIAMSBRIDGE RD MACE AVE,BRONX,11,14,34,80,13,06/30/1950,1980/10/01-ATP 7,,,
NY005010630,245,063,364,218,NY005179,RANDALL AVENUE-BALCOM AVENUE,FEDERAL,TURNKEY,NEW CONST (ELD),,251,252,823.5,3.28,0,272,272,221,89.84%,3,0,3,6,"230,000",5.28,"230,000",5.28,"48,175","1,582,410",20.95%,52,"$9,186,414","$10,757",$356,RANDALL AVE BALCOM AVE SCHLEY AVE BUTTRICK AVE,BRONX,10,14,34,82,13,10/31/1978,,EXCLUSIVELY,,
NY005012800,280,280,506,506,NY005205,SACK WERN,FEDERAL,CONVENTIONAL,REHAB,,411,413,"1,891.5",4.60,0,850,850,163,39.95%,7,1,7,6,"226,969",5.21,"226,969",5.21,"63,056","3,782,352",27.78%,163,"$8,699,894","$4,528",$615,BEACH AVE TAYLOR AVE NOBLE AVE ROSEDALE AVE,BRONX,9,15,34,85,18,05/12/1977,,,,
NY005020930,093,093,673,673,NY005384,SAINT MARY’S PARK,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,210,"1,005","1,007","4,523.5",4.50,525,"1,696","2,221",355,36.00%,6,0,6,21,"588,851",13.52,"545,801",12.53,"57,006","8,922,933",9.68%,164,"$16,351,823","$3,607",$528,CAULDWELL AVE E 156TH ST WESTCHESTER AVE TRINITY AVE,BRONX,1,15,"29, 32","79, 84",17,04/30/1959,,,,
NY005010450,045,045,368,368,NY005183B,SEDGWICK,FEDERAL,CONVENTIONAL,NEW CONST,,780,786,"3,303.0",4.23,0,"1,429","1,429",349,44.97%,7,0,7,14-15,"319,008",7.32,"319,008",7.32,"59,598","6,642,484",18.68%,195,"$8,397,841","$2,529",$491,UNDERCLIFF AVE W 174TH ST UNIVERSITY AVE,BRONX,5,13,29,77,16,03/23/1951,1972/06/29-FED TRAN,,,
NY005010670,067,067,222,222,NY005022,SOTOMAYOR HOUSES,FEDERAL,CONVENTIONAL,NEW CONST,,"1,495","1,497","6,963.5",4.66,0,"3,167","3,167",585,39.69%,28,3,28,7,"1,340,519",30.77,"1,340,519",30.77,"190,435","12,238,008",14.21%,103,"$17,963,549","$2,564",$542,WATSON AVE BRUCKNER BLVD SOUNDVIEW AVE LELAND AVE,BRONX,9,15,32,85,18,02/28/1955,,,,
NY005000710,071,071,537,537,NY005220H,SOUNDVIEW,FEDERAL,CONVENTIONAL,NEW CONST,,"1,257","1,259","5,859.5",4.66,0,"2,834","2,834",515,41.40%,13,2,26,7,"1,076,761",24.72,"1,076,761",24.72,"164,048","10,481,330",14.32%,115,"$13,445,000","$2,308",$499,ROSEDALE AVE LACOMBE AVE BRONX RIVER AVE SOUNDVIEW PK,BRONX,9,15,32,85,18,10/29/1954,1978/07/01-ATP 3,,,
